"Bronx","Clason Point","2"
"Bronx","Eastchester","2"
"Bronx","Highbridge","1"
"Brooklyn","Bedford-Stuyvesant","13"
"Brooklyn","Boerum Hill","3"
"Brooklyn","Brooklyn Heights","1"
"Brooklyn","Bushwick","2"
"Brooklyn","Carroll Gardens","2"
"Brooklyn","Clinton Hill","3"
"Brooklyn","Cobble Hill","2"
"Brooklyn","Crown Heights","7"
"Brooklyn","DUMBO","3"
"Brooklyn","East Flatbush","3"
"Brooklyn","Flatbush","3"
"Brooklyn","Flatlands","2"
"Brooklyn","Fort Greene","3"
"Brooklyn","Gowanus","11"
"Brooklyn","Greenpoint","6"
"Brooklyn","Kensington","1"
"Brooklyn","Park Slope","6"
"Brooklyn","Prospect Heights","10"
"Brooklyn","Prospect-Lefferts Gardens","15"
"Brooklyn","South Slope","7"
"Brooklyn","Williamsburg","5"
"Brooklyn","Windsor Terrace","1"
"Manhattan","Chelsea","28"
"Manhattan","Chinatown","3"
"Manhattan","East Harlem","10"
"Manhattan","East Village","5"
"Manhattan","Financial District","3"
"Manhattan","Flatiron District","2"
"Manhattan","Greenwich Village","5"
"Manhattan","Harlem","5"
"Manhattan","Hell's Kitchen","6"
"Manhattan","Inwood","4"
"Manhattan","Kips Bay","6"
"Manhattan","Little Italy","8"
"Manhattan","Lower East Side","5"
"Manhattan","Midtown","77"
"Manhattan","Morningside Heights","4"
"Manhattan","Murray Hill","3"
"Manhattan","NoHo","2"
"Manhattan","Roosevelt Island","7"
"Manhattan","SoHo","17"
"Manhattan","Upper East Side","4"
"Manhattan","Upper West Side","3"
"Manhattan","Washington Heights","6"
"Manhattan","West Village","25"
"Queens","Astoria","5"
"Queens","Ditmars Steinway","2"
"Queens","Flushing","2"
"Queens","Jamaica","2"
"Queens","Long Island City","3"
"Queens","Middle Village","18"
"Queens","Ridgewood","9"
"Queens","Sunnyside","30"
"Queens","Woodside","30"
"Staten Island","St. George","2"
"Staten Island","Tompkinsville","2"
